  882589.289    -4924872.368    3943729.418    1  GBT                 1  GB
  422333.2      722040.4         306.             QUABBIN             2  QU
  2390487.080   -5564731.357    1994720.633    1  ARECIBO 2020        3  AO
  -424818.0     -1472621.0      50.0              Hobart, Tasmania    4  HO
  402047.7      743853.85         43.             PRINCETON           5  PR
 -1601192.     -5041981.4       3554871.4      1  VLA XYZ             6  VL
 -4554231.5     2816759.1       -3454036.3     1  PARKES  XYZ (JER)   7  PK
 3822626.04    -154105.65       5086486.04     1  JODRELL BANK MkIA   8  JB
  382546.30     795056.36        893.7            GB 300FT            9  G3
  2765357.08    -4449628.98      -3625726.47   1  IAR1                a  AR
  2765322.49    -4449569.52      -3625825.14   1  IAR2                b  G8
  2765357.08    -4449628.98      -3625726.47   1  IAR1R               c  V2
 2765322.49    -4449569.52      -3625825.14    1  IAR2R               d  BO
-4483311.64    2648815.92      -3671909.31     1  MOST                e  MO
 4324165.81     165927.11       4670132.83     1  Nancay              f  NC
 4033949.5      486989.4        4900430.8      1  Effelsberg          g  EF
 3822846.7600  -153802.2800     5086285.9000   1  JB_MKII             h  J2
 918022.899    -4345980.855      4561981.2     1  ARO                 i  AZ
 1776362.940   -5026523.140    -3491158.3      1  CPT                 k  CP
 5109360.133   2006852.586     -3238948.127    1  MEERKAT             m  MK   
 1656342.30    5797947.77       2073243.16     1  GMRT                r  GM
-2826711.951    4679231.627     3274665.675    1  SHAO 65m XYZ        s  SH
 3826577.462   461022.624       5064892.526    1  LOFAR               t  LF
-2559454.08    5095372.14      -2849057.18     1  MWA                 u  MW
 5088964.00    301689.80        3825017.0      1  PICO VELETA         v  PV
 1820198.199   -5208357.714     -3194851.6     1  GemS                x  GS
-2059166.313    -3621302.972    4814304.113    1  CHIME               y  CH
 4865182.7660  791922.6890      4035137.1740   1  SRT                 z  SR
-1531155.54418 -5045324.30517   3579583.89450  1  LWA-SV              -  LS
  883772.79740 -4924385.59750   3944042.49910  1  GB 20m XYZ          -  G2
